# GridTwin ZA - transmission substations with coordinates and supply areas
# CC BY 4.0 - attribution required. gridtwinza.org
# source fingerprint: gtza-0fe0a41096f9685a
# NOTE: `planned` marks stations not yet energised. Coordinates are compiled from
# published sources and cross-checked against transmission line endpoints; a small
# number remain approximate and are flagged in the source file.
name,lat,lng,kv,supply_area,owner,planned,source
Normandie,-27.16131,30.87738,400,Mpumalanga,,no,osm
Olien,-28.33209,23.62378,275,Northern Cape,,no,shp
Olympus,-26.66584,27.80596,275,Gauteng,,no,osm
Oranjemond,-28.54608,16.60008,220,Northern Cape,,no,osm
Ottawa,-29.679313,31.049438,275,Kwazulu Natal,,no,pluscode
Palmiet,-34.19856,18.97305,400,Western Cape,,no,dbsa
Paulputs,-28.877308,19.565376,220,Northern Cape,,no,eskom
Pegasus,-28.24891,30.32829,400,Kwazulu Natal,,no,osm
Pelly,-25.41557,28.2922,275,Limpopo,,no,osm
Pembroke,-32.88385,27.52365,220,Eastern Cape,,no,osm
Perseus,-28.63794,25.74316,400,Free State,,no,osm
Philippi,-33.98921,18.53715,400,Western Cape,,no,osm
Pieterboth,-26.32061,28.45966,275,Gauteng,,no,osm
Pinotage,-34.04738,18.77891,400,Western Cape,,no,osm
Pluto,-26.21775,27.45465,400,North West,,no,osm
Port Rex,-33.02852,27.88148,132,Eastern Cape,,no,dbsa
Poseidon,-32.74267,25.92485,400,Eastern Cape,,no,dbsa
Prairie,-25.71757,30.22903,275,Mpumalanga,,no,osm
Princess,-26.17301,27.8451,275,Gauteng,,no,osm
Prospect,-26.22346,28.09526,275,Gauteng,,no,osm
Proteus,-34.10403,21.88055,400,Western Cape,,no,shp
Rabbit,-28.6807,32.13515,275,Kwazulu Natal,,no,line-geom
Rigi,-26.6797,27.85717,275,Gauteng,,no,osm
Rockdale,-25.8106,29.50632,275,Mpumalanga,,no,osm
Roodekuil,-29.99891,24.7068,220,Hydra Central,,no,osm
Ruigtevallei,-30.640428,25.504027,220,Hydra Central,,no,eskom
Scafell,-26.81231,27.63782,275,Gauteng,,no,osm
Sebenza,-26.11572,28.19054,400,Gauteng,,yes,dbsa
Senakangwedi,-24.81351,30.11671,275,Limpopo,,no,osm
Silimela,-25.08626,29.29761,400,Mpumalanga,,no,osm
Simplon,-25.23498,30.05136,275,Mpumalanga,,no,osm
Snowdon,-26.53187,28.15026,275,Gauteng,,no,osm
Sol,-26.53879,29.11757,400,Mpumalanga,,no,dbsa
Sorata,-28.30135,28.91116,132,Kwazulu Natal,,no,shp
Spencer,-23.48839,30.38071,275,Limpopo,,no,osm
Spitskop,-24.96802,27.22746,400,Limpopo,,no,osm
Sterrekus,-33.70216,18.5122,765,Western Cape,,no,dbsa
Stikland,-33.90496,18.68631,400,Western Cape,,no,osm
Tabor,-23.37402,29.78274,275,Limpopo,,no,osm
Taunus,-26.26849,27.7793,275,Gauteng,,no,osm
Theseus,-28.15978,26.8289,400,Free State,,no,osm
Thuso,-25.89486,28.24569,275,Gauteng,,no,osm
Trident,-25.63494,27.18344,275,North West,,no,osm
Tugela,-28.58033,29.32163,275,Kwazulu Natal,,no,osm
Tutuka,-26.77382,29.352,400,Mpumalanga,,no,dbsa
Umfolozi,-28.21595,31.18752,400,Kwazulu Natal,,no,osm
Upington,-28.544716,21.138104,400,Northern Cape,,no,eskom
Van der Kloof,-29.993235,24.731309,220,Northern Cape,,no,eskom
Venus,-28.93868,29.84619,400,Kwazulu Natal,,no,osm
Verdun,-26.63998,27.95193,275,Gauteng,,no,dbsa
Vulcan,-25.82959,29.1102,400,Mpumalanga,,no,osm
Vuyani,-31.6419,28.81351,400,Eastern Cape,,no,shp
Warmbad,-24.89051,28.32557,275,Limpopo,,no,osm
Watershed,-26.08994,26.14494,275,North West,,no,manual
Westgate,-26.14836,27.75477,275,Gauteng,,no,osm
Wildebees,-25.74848,28.41554,400,Gauteng,,yes,dbsa
Witkop,-24.04393,29.35668,400,Limpopo,,no,osm
Zeus,-26.69454,29.08881,400,Mpumalanga,,no,dbsa
Zwavelpoort,-25.80944,28.37972,400,Gauteng,,yes,approx
