# GridTwin ZA - DFFE environmental authorisations for renewable projects
# CC BY 4.0 - attribution required. gridtwinza.org
# source fingerprint: gtza-7f4d8068c08bbb07
# NOTE: PERMITS, NOT COMMISSIONING. An authorisation is not a built plant and not a
# grid connection. Permitted capacity exceeds built capacity by roughly ten times.
# Use for LOCATION and intent; use operational_renewable_capacity.csv for what exists.
name,province,technology,mw,status,decided,lat,lng
The proposed development of the Padloper Solar PV Facility 4 and associated infrastructure,Western Cape,Solar PV,150.0,Approved,2024-03-08,-31.90673,23.89118
"The proposed FE Kudu Wind Energy Facility, within the Dr Beyers Naude Local Municipality a",Eastern Cape,Wind,600.0,Approved,2024-03-15,-32.48422,23.59416
"The Proposed Orkney Mvala PV Solar Energy Facility near Orkney, situated within the City o",North West,Solar PV,150.0,Approved,2024-03-15,-27.00915,26.58441
"The Proposed Orkney Solar 2 PV Solar Energy Facility near Orkney, situated within the City",North West,Solar PV,150.0,Approved,2024-03-15,-27.00466,26.58828
"The proposed Highveld Solar PV Facility near Stilfontein, North West Province",North West,Solar PV,200.0,Approved,2024-04-30,-26.72441,26.86966
The  Proposed ABO Serval Solar Energy Facility 1 (SEF) and associated infrastructure locat,Mpumalanga,Solar PV,150.0,Approved,2024-05-15,-25.52638,29.7
The proposed ABO Serval Solar Energy Facility 3 (SEF) and associated infrastructure locate,Mpumalanga,Solar PV,70.0,Approved,2024-05-15,-25.57858,29.81675
The ABO Serval Solar Energy Facility 4 (SEF) and associated infrastructure located near Mi,Mpumalanga,Solar PV,40.0,Approved,2024-05-15,-25.5846,29.87453
The ABO Serval Solar Energy Facility 7 (SEF) and associated infrastructure located near Mi,Mpumalanga,Solar PV,170.0,Approved,2024-05-15,-25.713,29.82075
The ABO Serval Solar Energy Facility 9 (SEF) and associated infrastructure located near Mi,Mpumalanga,Solar PV,160.0,Approved,2024-05-15,-25.67623,29.8918
The ABO Serval Solar Energy Facility 10 (SEF) and associated infrastructure located near M,Mpumalanga,Solar PV,40.0,Approved,2024-05-15,-25.62466,29.47929
The proposed Tshimollo PV1 Solar Facility located within the !Kheis Local Municipality wit,Northern Cape,Solar PV,500.0,Approved,2024-06-27,-28.86034,21.60453
"The Proposed Kamva 100 MW Solar Photovoltaic (PV) Energy Facility, Battery Energy Storage ",Free State,Solar PV,100.0,Approved,2024-05-09,-28.44305,26.06237
"Proposed Sungazer 100 MW Solar Photovoltaic (PV) Energy Facility, Battery Energy Storage S",Free State,Solar PV,100.0,Approved,2024-05-09,-28.44336,26.07141
"Proposed Baatsheba 100MW Solar Photovoltaic (PV) Energy Facility, Battery Energy Storage S",Free State,Solar PV,100.0,Approved,2024-05-09,-28.44336,26.07141
"Proposed Mohlolo 100 MW Solar Photovoltaic (PV) Energy Facility, Battery Energy Storage Sy",Free State,Solar PV,100.0,Approved,2024-05-09,-28.43856,26.08247
"Proposed Agama 100 MW Solar Photovoltaic (PV) Energy Facility, Battery Energy Storage Syst",Free State,Solar PV,100.0,Approved,2024-05-09,-28.44336,26.07141
"Proposed Kganya 160 MW Solar Photovoltaic (PV) Energy Facility, Battery Energy Storage Sys",Free State,Solar PV,160.0,Approved,2024-05-09,-28.43856,26.08247
Proposed iNyanga Emoyeni PV1 Solar Energy Facility on the Remainder of Farm No. 2 Gabriels,Western Cape,Solar PV,315.0,Approved,2024-05-31,-31.72295,23.42405
Proposed Renewable Energy Generation Project (Photovoltaic Plant) on Portion 2 (Remaining ,Mpumalanga,Solar PV,240.0,Approved,2024-05-03,-25.76458,29.5527
"The Proposed Development of the Solar Photovoltaic Facility, ΓÇ£RhinoΓÇ¥ on Remainder of F",Western Cape,Solar PV,500.0,Approved,2024-05-16,-32.22403,22.84275
The proposed Renewable Energy Generation Project (Photovoltaic Plant) on Portion 195 and P,Mpumalanga,Solar PV,240.0,Approved,2024-05-09,-25.76458,29.5527
The proposed Lebalelo Water User Association Havercroft Pump Station Water Treatment Works,Limpopo,Solar PV,10.0,Approved,2024-06-27,-24.29269,30.21973
"The Proposed Scorpio Solar Power Plant near Potchefstroom, North West Province",North West,Solar PV,250.0,Approved,2024-06-03,-26.70394,27.30025
"The Proposed Taurus Solar Power Plant near Potchefstroom, North West Province",North West,Solar PV,300.0,Approved,2024-06-03,-26.73362,27.29232
"The Proposed Sagittarius Solar Power Plant near Potchefstroom, North West Province",North West,Solar PV,250.0,Approved,2024-06-03,-26.69696,27.28055
"The proposed Vanadium Solar Power Plant near Northam, Limpopo Province",Limpopo,Solar PV,150.0,Approved,2024-02-16,-25.02104,27.26514
"The proposed up to 130MW Platinum PV Facility, near Steelpoort in the Limpopo Province.",Limpopo,Solar PV,130.0,Approved,2024-03-05,-24.94668,30.15639
"The proposed Mirach Solar PV Project near Thabazimbi, Limpopo Province",Limpopo,Solar PV,300.0,Approved,2024-02-29,-24.13376,27.42805
Proposed development of the Kora I Solar Energy Facility (SEF) and associated infrastructu,Northern Cape,Solar PV,280.0,Refused,2024-05-03,-28.38723,23.25696
Proposed development of the Kora II Solar Energy Facility (SEF) and associated infrastruct,Northern Cape,Solar PV,280.0,Refused,2024-05-03,-28.38723,23.25696
Proposed development of the Kora III Solar Energy Facility (SEF) and associated infrastruc,Northern Cape,Solar PV,280.0,Refused,2024-05-03,-28.38723,23.25696
The Proposed development of the Kora IV Solar Energy Facility (SEF) and associated infrast,Northern Cape,Solar PV,150.0,Refused,2024-05-03,-28.38723,23.25696
Proposed development of the Koraqua I Solar Energy Facility (SEF) and associated infrastru,Northern Cape,Solar PV,150.0,Refused,2024-05-03,-28.34948,23.30138
The Proposed development of the Koraqua II Solar Energy Facility (SEF) and associated infr,Northern Cape,Solar PV,150.0,Refused,2024-05-03,-28.34948,23.30138
Proposed development of the Koraqua III Solar Energy Facility (SEF) and associated infrast,Northern Cape,Solar PV,150.0,Refused,2024-05-03,-28.34948,23.30138
Proposed development of the Koraqua V Solar Energy Facility (SEF) and associated infrastru,Northern Cape,Solar PV,150.0,Refused,2024-05-03,-28.34948,23.30138
The Proposed development of the Koraqua IV Solar Energy Facility (SEF) and associated infr,Northern Cape,Solar PV,150.0,Approved,2024-05-03,-28.34948,23.30138
The Proposed development of the Gorachouqua I Wind Energy Facility (WEF) and associated in,Northern Cape,Wind,256.0,Approved,2024-05-03,-28.40716,23.32604
The Proposed development of the Gorachouqua II Wind Energy Facility (WEF) and associated i,Northern Cape,Wind,256.0,Approved,2024-05-03,-28.40362,23.30211
The Proposed development of the Khoemana Wind Energy Facility (WEF) and associated infrast,Northern Cape,Wind,280.0,Approved,2024-05-03,-28.38784,23.38229
"The proposed Phadima Solar PV Facility, near Fochville, Gauteng",Gauteng,Solar PV,240.0,Approved,2024-02-29,-26.5071,27.43686
"The proposed Gemini Solar Power Plant near Vredendal, Western Cape Province",Western Cape,Solar PV,350.0,Approved,2024-03-13,-31.61668,18.4408
"The proposed Igolide Wind Energy Facility (up to 100 MW) northeast of Fochville, within th",Gauteng,Wind,100.0,Approved,2024-01-31,-26.45635,27.51427
"Proposed development of a 3MW PV power plant on the farm semple 155 MS, West of Musina, Li",Limpopo,Solar PV,3.0,Approved,2018-01-08,-22.15131,29.59422
"Proposed Aggenys 2, Northern Cape Province.",Northern Cape,Solar PV,100.0,Approved,2019-07-25,-29.26504,18.90653
The proposed development of the Springhaas Solar Faclity 4 a new Solar Photovoltaic Facili,Free State,Solar PV,150.0,Approved,2022-07-25,-28.7873,25.68889
"The proposed addition to the Delta Solar Power Plant near Bloemhof, North West Province.",North West,Solar PV,20.0,Approved,2023-05-31,-27.64706,25.51517
"The proposed Environmental Assessment for the Liu Energy Springbok Solar PV Facility, Nort",Northern Cape,Solar PV,100.0,Refused,2023-06-20,-29.4772,18.30323
"The proposed construction and operation of the 200 MWac Karee Wind Energy Facility (WEF), ",Western Cape,Solar PV,200.0,Refused,2023-05-24,-33.17334,19.94813
The proposed construction and operation of the 250 MW Patatskloof Wind Energy Facility (WE,Western Cape,Solar PV,250.0,Refused,2023-05-24,-33.1458,20.14077
"The proposed development of the 290 MW Volta Solar Photovoltaic (PV) Facility (i.e., Volta",Free State,Solar PV,290.0,Approved,2023-07-24,-28.67098,25.75249
"The Proposed FE Red Sands South East WEF and Associated Infrastructure, located in the Nor",Northern Cape,Wind,427.0,Approved,2023-08-25,-29.62236,18.71234
"Proposed Dysselsdorp Re-power photovoltaic plant, near Oudtshoorn in the Western Cape Prov",Western Cape,Solar PV,75.0,Approved,2020-01-27,-33.56156,22.3823
