Scenario,Power Station Name,Grouping,Carrier,Unit size (MW),Number units,Capacity (MW),Commissioning Date,Decommissioning Date,Heat Rate (GJ/MWh),CO2 Emissions (kgCO2/MWh),Fuel Price (R/GJ),Max Ramp Up (%/h),Max Ramp Down (%/h),Max Ramp Start Up (%/h),Max Ramp Shut Down (%/h),Min Stable Level (%),Min Up Time (h),Min Down Time (h),Variable O&M Cost (R/MWh),Fixed O&M Cost (R/kW/yr),Unit Start Up Cost (R),Start Up Cost (R),Shut Down Cost (R),GPS Latitude,GPS Longitude,geometry,NAME_1,index_right,name,region
BASE,Scatec1,RMIPPP,rmippp,50.0,1.0,50.0,2024,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0,-29.4112838805742,21.0847327324929,POINT (21.0847327324929 -29.4112838805742),Northern Cape,8,Northern Cape,Northern Cape
BASE,Scatec2,RMIPPP,rmippp,50.0,1.0,50.0,2024,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0,-29.4112838805742,21.0847327324929,POINT (21.0847327324929 -29.4112838805742),Northern Cape,8,Northern Cape,Northern Cape
BASE,Scatec3,RMIPPP,rmippp,50.0,1.0,50.0,2024,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0,-29.4112838805742,21.0847327324929,POINT (21.0847327324929 -29.4112838805742),Northern Cape,8,Northern Cape,Northern Cape
BASE,Umoyilanga,RMIPPP,rmippp,75.0,1.0,75.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0,-28.4519839474036,21.2331531845134,POINT (21.2331531845134 -28.4519839474036),Northern Cape,8,Northern Cape,Northern Cape
BASE,Avon,IPP,ocgt_diesel,167.5,4.0,670.0,-,2046,11.519,574.0,373,,,,,0.0,,,3.73378839590444,210.336746302617,0.0,0.0,0,-29.251,31.0941,POINT (31.0941 -29.251),KwaZulu-Natal,4,KwaZulu Natal,Kwazulu Natal
BASE,Dedisa,IPP,ocgt_diesel,167.5,2.0,335.0,-,2046,11.519,574.0,373,,,,,0.0,,,3.73378839590444,210.336746302617,0.0,0.0,0,-33.4433,25.4022,POINT (25.4022 -33.4433),Eastern Cape,0,Eastern Cape,Eastern Cape
BASE,Secunda_coal,Sasol,sasol_coal,42.86,14.0,600.04,-,2035,12.372,1347.0,15.6,,,,,0.65,,,88.3663253697383,1201.48332195677,225082.721274175,3151158.09783845,0,-26.5036,29.1803,POINT (29.1803 -26.5036),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Sasolburg_coal,Sasol,sasol_coal,,,128.0,-,2035,12.372,1347.0,15.6,,,,,0.65,,,88.3663253697383,1201.48332195677,225082.721274175,0.0,0,-26.5036,29.1803,POINT (29.1803 -26.5036),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Sasol_ice,Sasol,sasol_gas,9.7,18.0,174.6,-,2039,9.6,432.0,75,,,,,0.0,,,88.3663253697383,0.0,0.0,0.0,0,-26.8102,27.8277,POINT (27.8277 -26.8102),Free State,2,Gauteng,Gauteng
BASE,Sasol_ocgt,Sasol,sasol_gas,50.0,5.0,250.0,-,2039,9.6,432.0,75,,,,,0.0,,,3.73378839590444,0.0,0.0,0.0,0,-26.8102,27.8277,POINT (27.8277 -26.8102),Free State,2,Gauteng,Gauteng
