overall_hour,national_demand,Eastern Cape_corrected,Limpopo_corrected,Mpumalanga_corrected,Gauteng_corrected,Western Cape_corrected,Northern Cape_corrected,Hydra Central_corrected,Kwazulu Natal_corrected,North West_corrected,Free State_corrected
3726,26146.4571104698,1238.8576264547817,2377.4524165268163,2983.397792574502,7848.072217921739,2400.246286695756,466.3382887881747,106.53027651452442,5037.517785704048,2856.2972404718407,831.7471788176206
3727,27115.9252481911,1465.295736698043,2346.8444908642286,2784.389509088119,8322.993462329221,2597.0548422445218,515.1565329352566,131.17701125727794,5377.457294297537,2672.4055539539,903.1508145229924
3728,27670.9590248641,1456.67874941624,2293.7257006184864,2813.0254813299625,8746.49564226767,2747.8940306733484,517.4488718894373,141.98364684106505,5343.128587880974,2695.474831121661,915.1034828252468
3729,28744.6743873823,1557.8876971024863,2310.0705500644062,2876.189346688866,9229.249219599784,2894.1096228336964,558.6609141333153,99.30887368014584,5512.874213025691,2754.215007937231,952.108942316678
3730,30361.8776880694,1658.720409704631,2391.324566393572,3291.358349531634,9629.989086189857,3145.2754777240707,593.8215640173673,54.727271033828416,5693.298592886223,2935.089222757138,968.2731478310856
3731,30713.6726122917,1678.9219459769747,2415.477986122972,3430.703953728494,9698.522337079568,3092.135366372292,572.4997901387685,114.5941008162117,5758.234149685415,2991.691870390986,960.8911119800192
3732,30366.2530747227,1638.556708338656,2479.356995645444,3419.2609640359456,9375.379657222597,3172.305027370817,558.2306880403844,119.62317686086988,5721.793662890512,2957.663114547426,924.0830797700492
3733,29779.8814196363,1583.159218231799,2438.42306822632,3448.717742763987,9062.034210755635,3074.14597647644,579.6349676334349,95.38675439586729,5647.527823359776,2964.5217541769757,886.3299036160563
3734,29563.462853957,1542.422854764779,2395.314919578584,3424.65591044231,9093.417662629672,3116.5725905999234,580.791991733841,91.73096977714464,5414.8105216260765,3018.0396163742685,885.705816430399
3735,29462.0566001503,1520.603017922991,2358.870351682129,3368.3984618604927,8855.646843487179,3094.971300063141,571.8657035574223,99.42550052325431,5681.631464846041,3034.6644574769853,875.9794987306632
3736,30029.4633077187,1556.8836095580425,2435.1296517852743,3374.5321047730195,9082.554560612214,3169.962907533169,579.3186030315894,45.08705251498838,5859.491526356509,3032.850145805377,893.6531457485188
3737,30416.898493586,1609.8880630528115,2522.421173192764,3380.225200765638,9206.78161303527,3172.051205461377,570.331644532898,88.60376875896443,5969.626655099561,3003.228262982571,893.7409067041476
3738,29808.8342363812,1712.3699881739217,2530.420370399672,3063.0473265670653,9116.432653532967,3100.28308506448,558.7722826484082,134.41952067933465,5868.593256915344,2817.644136261041,906.8516161389676
3739,32061.9477235733,1807.0885500693855,2815.4982557999715,3344.300665395569,9970.785327478568,3299.597036815848,627.0327803019014,189.0962883160097,6032.901886454483,2953.0344956146387,1022.61243732692
3740,32482.2778041151,1690.8527091684816,2796.122142199182,3645.478873520967,10246.51740228777,3254.841038572006,645.5161709556779,183.8592314412398,5910.057470197405,3082.9858790117687,1026.0468867606023
3741,30790.0189880163,1509.6767100271538,2621.2480233190563,3590.005773811052,9738.569826878778,3042.7317995404605,621.7670530245122,134.6799041481215,5571.266676299045,3002.6588524303165,957.414368537806
3742,28581.0431631448,1330.3948553374314,2430.405792981547,3478.335090415995,8874.527436765371,2768.6008958185994,583.9689542333683,123.55121931014756,5168.191693111689,2941.8106221054622,881.2566030651889
3743,26084.000600782,1134.754819089204,2299.243258557474,3287.228927092117,7759.818178525918,2399.2821156805294,536.2558841268661,112.16392062767376,4816.934732835231,2928.605928261286,809.7128359857007
3744,24167.3626903565,1029.3987201383184,2157.3387843480987,3134.7379602666174,6849.874103135122,2220.834146717548,511.8456766414793,88.56710069460662,4586.740324714707,2848.327545498933,739.6983282010681
3745,23199.96638867,974.9362110967436,2080.3822519962755,3035.8022378071023,6455.94975286844,2115.8764718176285,485.7366769603367,84.93325739788352,4428.419223847423,2842.618839326364,695.3114655518023
3746,23004.3776802218,974.1629876216792,2070.7723346533053,2941.4504908296244,6299.349001016831,2118.6940351127714,491.2387268558064,91.02159865768743,4466.087109657189,2856.875452278437,694.7259435384719
3747,22901.0664019783,961.1133292805204,2059.9400730738007,2923.6020848508265,6298.2942138841545,2162.7245729317565,487.0068358106558,88.41866030562858,4407.954597846054,2830.2846165786577,681.7274174162459
3748,23067.6289774193,961.758649055942,2097.0666039117764,2912.3867282730207,6445.327567346983,2145.472505954544,473.6744836445205,84.78296575727228,4478.63680303891,2782.2898638170545,686.2328066192732
3749,24310.513758858,1049.7490575999268,2197.4300284542182,2960.1542812367497,7067.654450137934,2290.5448180683743,480.4617607828322,88.14612091809302,4760.106679468824,2722.0191257277256,694.247436463324
3750,26753.9663812128,1274.5459590853543,2356.9838225847966,3107.252652242946,8013.079464060361,2567.9640497844475,513.8319041648455,105.18823582869972,5231.66701844723,2797.255411429893,786.1978635842221
3751,28029.4888515188,1512.6452789855869,2410.1150377285157,2825.6482312929784,8631.301502543254,2832.454259276669,549.2518323252111,128.0775071468302,5513.329415700483,2760.3832689197848,866.2825175994927
3752,28752.3075697256,1506.786891353382,2343.252954842694,2865.932768828128,9076.58162035576,2977.3659190790163,562.3941343788174,148.33471961668806,5582.298362169875,2793.158243219085,896.2019558821542
3753,30152.3093194817,1553.9204080365892,2376.3432352653376,2982.9120510049074,9592.628398499057,3156.806474816249,599.4798733949954,100.96897663425008,5853.63171162691,2985.908269049063,949.7099211543396
3754,31638.2946298735,1627.9065075425792,2517.5904759704813,3382.222419344097,9943.158718191637,3348.9170521717824,600.5153232827203,47.38976555812231,6015.998823703748,3182.5272636249883,972.0682804833448
3755,31572.2698775544,1615.1904145522878,2564.28648557046,3524.0942288591914,9738.566079711758,3306.327055108177,624.746503056479,101.23779777180977,5962.241179436822,3182.9105062594413,952.669627227974
3756,31040.2934931444,1619.6587445910425,2596.201688882476,3538.9692886123994,9377.725117487234,3201.356967064831,609.6426278122942,111.69829604271553,5928.93772011216,3139.647880259691,916.455162279554
3757,30280.0586208661,1601.0746206494148,2597.3833417685883,3461.386785661256,8989.002298213687,3152.48620568648,590.0927702040956,104.34383880489568,5788.513569486846,3114.852068248027,880.9231221428054
3758,29840.1401721866,1581.08144634117,2573.42811223882,3510.6824199512503,8742.360115877613,3065.036429142189,596.4100150376554,91.68727070856345,5730.235520538432,3097.3127120999247,851.9061302509803
3759,29479.2414198453,1553.9235840451602,2566.8665776475304,3476.429073047329,8534.580787663142,3056.7141384176643,591.8068883434947,104.98595146052018,5714.478823516692,3035.9798610729467,843.4757346308223
3760,29842.0252151459,1572.908508025266,2604.583199681351,3462.113470784048,8663.443152048925,3000.084437232144,621.8234130376538,107.3684343730243,5891.945791469578,3058.6870913816847,859.0677171122212
3761,30310.7061696409,1602.1899801857558,2703.774737225503,3493.0665108761814,8940.96066763607,2964.652826076277,593.9853104770324,82.48896477969105,6004.5092960943775,3046.73977645489,878.3380998351187
3762,29977.9383913132,1672.8585373912256,2733.7349253862712,3170.44203186656,8965.80149657069,2964.994200486304,576.350214996181,142.47495070095758,5927.915446056219,2924.7296649321283,898.6369229266643
3763,31875.1487536658,1760.7547668107582,2858.686820306821,3397.779572955998,9682.137028869409,3210.015896876408,631.8611235176053,187.1161159578673,6093.447297160671,3069.8600072688887,983.4901239413676
3764,32377.4234994975,1668.0971428515452,2828.4828203343423,3706.927966923166,9991.680267756548,3235.998344726132,644.097990607743,190.3038666359073,6023.94015640912,3096.370990419774,991.5239528332232
3765,30676.3366978959,1514.4419976727495,2715.695251260807,3536.1534783522025,9523.39874833125,3047.3672790966857,639.1542975344611,139.40364852270244,5600.255996548996,3040.643989315625,919.82201126042
3766,28510.4066258836,1343.0881945807562,2533.255900694389,3376.591349541712,8698.44355637765,2810.0774874766857,578.5752491905672,120.3181977091562,5201.587120649064,3002.801882365699,845.6676872979203
3767,25986.4804569313,1166.0369883814892,2401.3483594427453,3158.438002571224,7610.31799646928,2501.1783538839736,544.2042290135041,106.74682014088556,4802.7796406672205,2922.014448762477,773.4156175984988
3768,24297.9213871913,1094.5908105540968,2277.7457091350466,3030.3294501641967,6826.58610405668,2305.1245306219707,522.2315139036651,91.16408643895832,4615.597046953779,2813.4892715301635,721.0628638327458
3769,23320.1223042807,1049.0974678306295,2217.8894029948374,2971.116020117519,6350.110802316006,2108.751266071736,504.8526881931015,96.58044446249568,4483.243764054696,2844.7264834168186,693.7539648228593
3770,23033.0380603217,1063.673981203638,2211.257971678904,2900.670883348954,6239.324046554744,2049.2869166347887,500.6304736181498,94.6256067770156,4422.614261343708,2860.108722441225,690.8451967205768
3771,22902.0570311453,1079.2788981731858,2202.244056798775,2913.79087167191,6217.672845702408,1994.1886788411875,483.6171613747523,99.6290737451372,4398.497565301963,2843.8598461894017,669.2780333465834
3772,22981.9390831586,1115.689260748106,2201.235552031178,2898.091090018732,6219.979099876904,2029.0378823638544,475.0911188819424,105.45580540029334,4437.75254535108,2826.8293073089094,672.7774211775984
3773,24118.9017648157,1244.9163726527504,2325.907300681752,2990.871964804942,6596.362410076706,2087.2291730395955,500.3450802334466,112.95041567350388,4717.618566523079,2847.0803990505583,695.6200820793687
3774,25963.5323774698,1352.6555722021772,2464.250499294305,3189.196790792807,7269.969972352854,2226.139134779697,537.4542782538824,128.01480032470312,5086.167097721838,2957.0174412596293,752.6667904879083
3775,27080.4007888701,1438.2058392142396,2553.819351528363,3145.2387452881976,7814.385227825515,2443.897706099653,539.6482562346115,129.94276318107086,5260.074860630471,2964.839994418417,790.34804444956
